# Logfile created on 2018-11-20 13:43:37 +0000 by logger.rb/56815
[2018-11-20T13:43:38+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2018-11-20T13:43:38+00:00] INFO: *** Chef 13.6.4 ***
[2018-11-20T13:43:38+00:00] INFO: Platform: x86_64-linux
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config_mash.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/definitions/redis_service.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_primary.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_secondary.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/pgbouncer.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/postgres.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/redis_master.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/redhat_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/services.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/consul.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/deprecations.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/formatters/gitlab.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/handlers/gitlab.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/output_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/logging_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/redis_sentinel.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/roles_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/secrets_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/services_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/settings_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/metadata.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/version_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/omnibus_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/storage_directory_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/resources/account.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/resources/env_dir.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/resources/storage_directory.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/resources/sysctl.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/resources/templatesymlink.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/shell_out_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/gitlab-psql-rc.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/pg_hba.conf.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/pg_ident.conf.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/postgresql-runtime.conf.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/postgresql.conf.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-log-config.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-control-t.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-log-run.erb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-run.erb in the cache.
[2018-11-20T13:43:41+00:00] INFO: Storing updated cookbooks/postgresql/resources/database.rb in the cache.
[2018-11-20T13:43:41+00:00] INFO: Storing updated cookbooks/postgresql/resources/extension.rb in the cache.
[2018-11-20T13:43:41+00:00] INFO: Storing updated cookbooks/postgresql/resources/query.rb in the cache.
[2018-11-20T13:43:41+00:00] INFO: Storing updated cookbooks/postgresql/resources/schema.rb in the cache.
[2018-11-20T13:43:41+00:00] INFO: Storing updated cookbooks/postgresql/resources/user.rb in the cache.
[2018-11-20T13:43:41+00:00] INFO: Storing updated cookbooks/postgresql/recipes/bin.rb in the cache.
